,field_year,field_category,field_publication,title,field_abbr_citation
700,2019,Criticism,The Washington Post,Carlos Lozada of The Washington Post,For trenchant and searching reviews and essays that joined warm emotion and careful analysis in examining a broad range of books addressing government and the American experience.
701,2018,Criticism,,Jerry Saltz of New York magazine,"For a robust body of work that conveyed a canny and often daring perspective on visual art in America, encompassing the personal, the political, the pure and the profane."
702,2017,Criticism,The New Yorker,Hilton Als,"For bold and original reviews that strove to put stage dramas within a real-world cultural context, particularly the shifting landscape of gender, sexuality and race."
703,2016,Criticism,The New Yorker,Emily Nussbaum,For television reviews written with an affection that never blunts the shrewdness of her analysis or the easy authority of her writing.
704,2015,Criticism,Los Angeles Times,Mary McNamara,"For savvy criticism that uses shrewdness, humor and an insider&#039;s  view to show how both subtle and seismic shifts in the cultural landscape affect television."
705,2014,Criticism,The Philadelphia Inquirer,Inga Saffron,"For her criticism of architecture that blends expertise, civic passion and sheer readability into arguments that consistently stimulate and surprise."
706,2013,Criticism,The Washington Post,Philip Kennicott,"For his eloquent and passionate essays on art and the social forces that underlie it, a critic who always strives to make his topics and targets relevant to readers."
707,2012,Criticism,The Boston Globe,Wesley Morris,"For his smart, inventive film criticism, distinguished by pinpoint prose and an easy traverse between the art house and the big-screen box office."
708,2011,Criticism,The Boston Globe,Sebastian Smee,"For his vivid and exuberant writing about art, often bringing great works to life with love and appreciation."
709,2010,Criticism,The Washington Post,Sarah Kaufman,"For her refreshingly imaginative approach to dance criticism, illuminating a range of issues and topics with provocative comments and original insights."
710,2009,Criticism,The New York Times,Holland Cotter,"For his wide ranging reviews of art, from Manhattan to China, marked by acute observation, luminous writing and dramatic storytelling."
711,2008,Criticism,The Boston Globe,Mark Feeney,"For his penetrating and versatile command of the visual arts, from film and photography to painting."
712,2007,Criticism,LA Weekly,Jonathan Gold,"For his zestful, wide ranging restaurant reviews, expressing the delight of an erudite eater."
713,2006,Criticism,The Washington Post,Robin Givhan,"For her witty, closely observed essays that transform fashion criticism into cultural criticism."
714,2005,Criticism,The Wall Street Journal,Joe Morgenstern,"For his reviews that elucidated the strengths and weaknesses of film with rare insight, authority and wit."
715,2004,Criticism,Los Angeles Times,Dan Neil,"For his one-of-a-kind reviews of automobiles, blending technical expertise with offbeat humor and astute cultural observations."
716,2003,Criticism,The Washington Post,Stephen Hunter,For his authoritative film criticism that is both intellectually rewarding and a pleasure to read.
717,2002,Criticism,Newsday,Justin Davidson,For his crisp coverage of classical music that captures its essence.
718,2001,Criticism,The Boston Globe,Gail Caldwell,For her insightful observations on contemporary life and literature.
719,2000,Criticism,The Washington Post,Henry Allen,For his fresh and authoritative writing on photography.
720,1999,Criticism,Chicago Tribune,Blair Kamin,"For his lucid coverage of city architecture, including an influential series supporting the development of Chicago&#039;s lakefront area."
721,1998,Criticism,The New York Times,Michiko Kakutani,"For her passionate, intelligent writing on books and contemporary literature."
722,1997,Criticism,The Washington Post,Tim Page,For his lucid and illuminating music criticism.
723,1996,Criticism,The Boston Globe,Robert Campbell,For his knowledgeable writing on architecture.
724,1995,Criticism,The New York Times,Margo Jefferson,For her book reviews and other cultural criticism.
725,1994,Criticism,The Boston Phoenix,Lloyd Schwartz,For his skillful and resonant classical music criticism.
726,1993,Criticism,The Washington Post,Michael Dirda,For his book reviews.
727,1992,Criticism,,No award,No award
728,1991,Criticism,Los Angeles Times,David Shaw,"For his critiques of the way in which the media, including his own paper, reported the McMartin Pre-School child molestation case."
729,1990,Criticism,San Francisco Chronicle,Allan Temko,For his architecture criticism.
730,1989,Criticism,News and Observer,Michael Skube,For his writing about books and other literary topics.
731,1988,Criticism,The Washington Post,Tom Shales,For his television criticism.
732,1987,Criticism,Los Angeles Times,Richard Eder,For his book reviews.
733,1986,Criticism,The New York Times,Donal Henahan,For his music criticism.
734,1985,Criticism,Los Angeles Times,Howard Rosenberg,For his television criticism.
735,1984,Criticism,The New York Times,Paul Goldberger,For architectural criticism.
736,1983,Criticism,The Wall Street Journal,Manuela Hoelterhoff,For her wide-ranging criticism on the arts and other subjects.
737,1982,Criticism,Los Angeles Times,Martin Bernheimer,For classical music criticism.
738,1981,Criticism,The Washington Star,Jonathan Yardley,For his book reviews.
739,1980,Criticism,The Boston Globe,William A. Henry III,For critical writing about television.
740,1979,Criticism,Chicago Tribune,Paul Gapp,
741,1978,Criticism,The New York Times,Walter Kerr,For articles on the theater in 1977 and throughout his long career.
742,1977,Criticism,The Washington Post,William McPherson,For his contribution to &quot;Book World.&quot;
743,1976,Criticism,The Washington Post,Alan M. Kriegsman,For his critical writing about the dance during 1975.
744,1975,Criticism,Chicago Sun-Times,Roger Ebert,For his film criticism during 1974.
745,1974,Criticism,Newsday Syndicate,Emily Genauer,For her critical writing about art and artists.
746,1973,Criticism,Chicago Sun-Times,Ronald Powers,For his critical writing about television during 1972.
747,2020,Editorial Writing,,Jeffery Gerritt of the Palestine (Tx.) Herald-Press,"For editorials that exposed how pre-trial inmates died horrific deaths in a small Texas county jail—reflecting a rising trend across the state—and courageously took on the local sheriff and judicial establishment, which tried to cover up these needless tragedies."
748,2019,Editorial Writing,The New York Times,Brent Staples of The New York Times,For editorials written with extraordinary moral clarity that charted the racial fault lines in the United States at a polarizing moment in the nation’s history.
749,2018,Editorial Writing,,Andie Dominick of The Des Moines Register,"For examining in a clear, indignant voice, free of cliché or sentimentality, the damaging consequences for poor Iowa residents of privatizing the state’s administration of Medicaid."
750,2017,Editorial Writing,The Storm Lake Times,Art Cullen,"For editorials fueled by tenacious reporting, impressive expertise and engaging writing that successfully challenged powerful corporate agricultural interests in Iowa."
751,2016,Editorial Writing,,John Hackworth and Brian Gleason of Sun Newspapers,"For fierce, indignant editorials that demanded truth and change after the deadly assault of an inmate by corrections officers."
752,2015,Editorial Writing,The Boston Globe,Kathleen Kingsbury,For taking readers on a tour of restaurant workers&#039; bank accounts to expose the real price of inexpensive menu items and the human costs of income inequality.
753,2014,Editorial Writing,The Oregonian,Editorial Staff,"For its lucid editorials that explain the urgent but complex issue of rising pension costs, notably engaging readers and driving home the link between necessary solutions and their impact on everyday lives."
754,2013,Editorial Writing,Tampa Bay Times,Tim Nickens and Daniel Ruth,"For their diligent campaign that helped reverse a decision to end fluoridation of the water supply for the 700,000 residents of the newspaper&#039;s home county"
755,2012,Editorial Writing,,No award,No award
756,2011,Editorial Writing,The Wall Street Journal,Joseph Rago,"For his well crafted, against-the-grain editorials challenging the health care reform advocated by President Obama."
757,2010,Editorial Writing,The Dallas Morning News,"Tod Robberson, Colleen McCain Nelson and William McKenzie",For their relentless editorials deploring the stark social and economic disparity between the city&#039;s better-off northern half and distressed southern half.
758,2009,Editorial Writing,The Post-Star,Mark Mahoney,"For his relentless, down-to-earth editorials on the perils of local government secrecy, effectively admonishing citizens to uphold their right to know."
759,2008,Editorial Writing,,No award,No award.
760,2007,Editorial Writing,New York Daily News,"Arthur Browne, Beverly Weintraub and Heidi Evans",For their compassionate and compelling editorials on behalf of Ground Zero workers whose health problems were neglected by the city and the nation.
761,2006,Editorial Writing,The Oregonian,Rick Attig and Doug Bates,"For their persuasive, richly reported editorials on abuses inside a forgotten Oregon mental hospital."
762,2005,Editorial Writing,The Sacramento Bee,Tom Philp,For his deeply researched editorials on reclaiming California&#039;s flooded Hetch Hetchy Valley that stirred action.
763,2004,Editorial Writing,Los Angeles Times,William R. Stall,"For his incisive editorials that analyzed California&#039;s troubled state government, prescribed remedies and served as a model for addressing complex state issues."
764,2003,Editorial Writing,Chicago Tribune,Cornelia Grumman,"For her powerful, freshly challenging editorials on reform of the death penalty."
765,2002,Editorial Writing,Los Angeles Times,Alex Raksin and Bob Sipchen,For their comprehensive and powerfully written editorials exploring the issues and dilemmas provoked by mentally ill people dwelling on the streets.
766,2001,Editorial Writing,Rutland (VT) Herald,David Moats,For his even-handed and influential series of editorials commenting on the divisive issues arising from civil unions for same-sex couples.
767,2000,Editorial Writing,The Orlando Sentinel,John C. Bersia,"For his passionate editorial campaign attacking predatory lending practices in the state, which prompted changes in local lending regulations."
768,1999,Editorial Writing,New York Daily News,Editorial Board,For its effective campaign to rescue Harlem&#039;s Apollo Theatre from the financial mismanagement that threatened the landmark&#039;s survival.
769,1998,Editorial Writing,The Riverdale (NY) Press,Bernard L. Stein,For his gracefully-written editorials on politics and other issues affecting New York City residents.
770,1997,Editorial Writing,The Daily Tribune,Michael Gartner,For his common sense editorials about issues deeply affecting the lives of people in his community.
771,1996,Editorial Writing,The New York Times,Robert B. Semple,For his editorials on environmental issues.
772,1995,Editorial Writing,The St. Petersburg (FL) Times,Jeffrey Good,For his editorial campaign urging reform of Florida&#039;s probate system for settling estates.
773,1994,Editorial Writing,Chicago Tribune,R. Bruce Dold,For his series of editorials deploring the murder of a 3-year-old boy by his abusive mother and decrying the Illinois child welfare system.
774,1992,Editorial Writing,Lexington (KY) Herald-Leader,Maria Henson,"For her editorials about battered women in Kentucky, which focused statewide attention on the problem and prompted significant reforms."
775,1991,Editorial Writing,The Birmingham (AL) News,"Ron Casey, Harold Jackson and Joey Kennedy",For their editorial campaign analyzing inequities in Alabama&#039;s tax system and proposing needed reforms.
776,1990,Editorial Writing,The Pottstown (PA) Mercury,Thomas J. Hylton,For his editorials about a local bond issue for the preservation of farmland and other open space in rural Pennsylvania.
777,1989,Editorial Writing,Chicago Tribune,Lois Wille,For her editorials on a variety of local issues.
778,1988,Editorial Writing,Orlando Sentinel,Jane Healy,For her series of editorials protesting overdevelopment of Florida&#039;s Orange County.
779,1987,Editorial Writing,The Tribune,Jonathan Freedman,For his editorials urging passage of the first major immigration reform act in 34 years.
780,1986,Editorial Writing,Chicago Tribune,Jack Fuller,For his editorials on constitutional issues.
781,1985,Editorial Writing,The Philadelphia Daily News,Richard Aregood,For his editorials on a variety of subjects.
782,1984,Editorial Writing,Georgia Gazette,Albert Scardino,For his series of editorials on various local and state matters.
783,1983,Editorial Writing,The Miami Herald,Editorial Board,For its campaign against the detention of illegal Haitian immigrants by federal officials.
784,1982,Editorial Writing,The New York Times,Jack Rosenthal,
785,1980,Editorial Writing,The Wall Street Journal,Robert L. Bartley,
786,1979,Editorial Writing,The Washington Star,Edwin M. Yoder Jr.,
787,1978,Editorial Writing,The Washington Post,Meg Greenfield,For selected samples of her work.
788,1977,Editorial Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,"Warren L. Lerude, Foster Church and Norman F. Cardoza",For editorials challenging the power of a local brothel keeper.
789,1976,Editorial Writing,Los Angeles Times,Philip P. Kerby,For his editorials against government secrecy and judicial censorship.
790,1975,Editorial Writing,Charleston (WV) Daily Mail,John Daniell Maurice,For his editorials about the Kanawha County schoolbook controversy.
791,1974,Editorial Writing,The Trentonian,F. Gilman Spencer,For his courageous campaign to focus public attention on scandals in New Jersey&#039;s state government.
792,1973,Editorial Writing,Berkshire Eagle,Roger B. Linscott,For his editorials during 1972.
793,1972,Editorial Writing,Bethlehem (PA) Globe-Times,John Strohmeyer,For his editorial campaign to reduce racial tensions in Bethlehem.
794,1971,Editorial Writing,The Gainesville (FL) Sun,Horance G. Davis Jr.,For his editorials in support of the peaceful desegregation of Florida&#039;s schools.
795,1970,Editorial Writing,The Washington Post,Philip L. Geyelin,For his editorials during 1969.
796,1969,Editorial Writing,Pine Bluff (AR) Commercial,Paul Greenberg,For his editorials during 1968.
797,1968,Editorial Writing,Knight Newspapers,John S. Knight,For his distinguished editorial writing.
798,1967,Editorial Writing,The Atlanta Constitution,Eugene Patterson,For his editorials during the year.
799,1966,Editorial Writing,St. Louis Post-Dispatch,Robert Lasch,For his distinguished editorial writing in 1965.
800,1965,Editorial Writing,Gainesville (FL) Sun,John R. Harrison,For his successful editorial campaign for better housing in his city.
801,1964,Editorial Writing,Lexington (MS) Advertiser,Hazel Brannon Smith,For steadfast adherence to her editorial duty in the face of great pressure and opposition.
802,1963,Editorial Writing,Pascagoula (MS) Chronicle,Ira B. Harkey,For his courageous editorials devoted to the processes of law and reason during the integration crisis in Mississippi in 1962.
803,1962,Editorial Writing,Santa Barbara (CA) News-Press,Thomas M. Storke,For his forceful editorials calling public attention to the activities of a semi-secret organization known as the John Birch Society.
804,1961,Editorial Writing,San Juan (Puerto Rico) Star,William J. Dorvillier,For his editorials on clerical interference in the 1960 gubernatorial election in Puerto Rico.
805,1960,Editorial Writing,Norfolk Virginian-Pilot,Lenoir Chambers,"For his series of editorials on the school integration problem in Virginia, as exemplified by &quot;The Year the Schools Closed,&quot; published January 1, 1959, and &quot;The Year the Schools Opened,&quot; published December 31, 1959."
806,1959,Editorial Writing,The Atlanta (GA) Constitution,Ralph McGill,"For his distinguished editorial writing during 1958 as exemplified in his editorial &quot;A Church, A School....&quot; and for his long, courageous and effective editorial leadership."
807,1958,Editorial Writing,Arkansas Gazette,Harry S. Ashmore,"For the forcefulness, dispassionate analysis and clarity of his editorials on the school integration conflict in Little Rock."
808,1957,Editorial Writing,Tuscaloosa (AL) News,Buford Boone,"For his fearless and reasoned editorials in a community inflamed by a segregation issue, an outstanding example of his work being the editorial entitled, &quot;What a Price for Peace,&quot; published on February 7,1956."
809,1956,Editorial Writing,Register and Tribune,Lauren K. Soth,"For the editorial inviting a farm delegation from the Soviet Union to visit Iowa, which led directly to the Russian farm visit to the U.S.."
810,1955,Editorial Writing,Detroit Free Press,Royce Howes,"For an editorial on &quot;The Cause of a Strike,&quot; impartially and clearly analyzing the responsibility of both labor and management for a local union&#039;s unauthorized strike in July, 1954, which rendered 45,000 Chrysler Corporation workers idle and unpaid. By pointing out how and why the parent United Automobile Workers&#039; Union ordered the local strike called off and stating that management let dissatisfaction get out of hand, the editorial made a notable contribution to public understanding of the whole program of the respective responsibilities and relationships of labor and management in this field."
811,1954,Editorial Writing,Boston Herald,Don Murray,For a series of editorials on the &quot;New Look&quot; in National Defense which won wide attention for their analysis of changes in American military policy.
812,1953,Editorial Writing,The Wall Street Journal,Vermont Connecticut Royster,For distinguished editorial writing during the year.
813,1952,Editorial Writing,St. Louis Globe Democrat,Louis LaCoss,"For his editorial entitled, &quot;The Low Estate of Public Morals.&quot;"
814,1951,Editorial Writing,New Orleans States,William Harry Fitzpatrick,"For his series of editorials analyzing and clarifying a very important constitutional issue, which is described by the general heading of the series, &quot;Government by Treaty.&quot;"
815,1950,Editorial Writing,Jackson (MI) Citizen Patriot,Carl M. Saunders,For distinguished editorial writing during the year.
816,1949,Editorial Writing,The Washington Post,Herbert Elliston,For distinguished editorial writing during the year.
817,1949,Editorial Writing,The Boston Herald,John H. Crider,For distinguished editorial writing during the year.
818,1948,Editorial Writing,Richmond Times-Dispatch,Virginius Dabney,For distinguished editorial writing during the year.
819,1947,Editorial Writing,The Wall Street Journal,William H. Grimes,For his distinguished editorial writing during the year.
820,1946,Editorial Writing,The Delta Democrat-Times,Hodding Carter,"For a group of editorials published during the year 1945 on the subject of racial, religious and economic intolerance, as exemplified by the editorial &quot;Go for Broke.&quot;"
821,1945,Editorial Writing,The Providence Journal-Bulletin,George W. Potter,"For his editorials published during the calendar year 1944, especially for his editorials on the subject of freedom of the press."
822,1944,Editorial Writing,Kansas City (MO) Star,Henry J. Haskell,For editorials written during the calendar year 1943.
823,1943,Editorial Writing,Register and Tribune,Forrest W. Seymour,For his editorials published during the calendar year 1942.
824,1942,Editorial Writing,New York Herald Tribune,Geoffrey Parsons,For his distinguished editorial writing during the year.
825,1941,Editorial Writing,New York Daily News,Reuben Maury,For his distinguished editorial writing during the year.
826,1940,Editorial Writing,St. Louis Post-Dispatch,Bart Howard,For his distinguished editorial writing during the year.
827,1939,Editorial Writing,The Oregonian,Ronald G. Callvert,For his distinguished editorial writing during the year as exemplified by the editorial entitled &quot;My Country &#039;Tis of Thee.&quot;
828,1938,Editorial Writing,Register and Tribune,William Wesley Waymack,For his distinguished editorial writing during the year.
829,1937,Editorial Writing,The Baltimore Sun,John W. Owens,For distinguished editorial writing during the year.
830,1936,Editorial Writing,Washington Post and Scripps-Howard Newspapers,Felix Morley and George B. Parker,For distinguished editorial writing during the year.
831,1934,Editorial Writing,Atlantic (IA) News-Telegraph,E. P. Chase,"For an editorial entitled, &quot;Where is Our Money ?&quot;"
832,1933,Editorial Writing,Kansas City (MO) Star,No author named,For its series of editorials on national and international topics.
833,1931,Editorial Writing,Fremont (NE) Tribune,Charles S. Ryckman,For the editorial entitled &quot;The Gentleman from Nebraska.&quot;
834,1929,Editorial Writing,Norfolk Virginian-Pilot,Louis Isaac Jaffe,"For his editorial entitled &quot;An Unspeakable Act of Savagery,&quot; which is typical of a series of articles written on the lynching evil and in successful advocacy of legislation to prevent it."
835,1928,Editorial Writing,Montgomery (AL) Advertiser,Grover Cleveland Hall,"For his editorials against gangsterism, floggings and racial and religious intolerance."
836,1927,Editorial Writing,Boston Herald,F. Lauriston Bullard,"For the editorial entitled, &quot;We Submit.&quot;"
837,1926,Editorial Writing,The New York Times,Edward M. Kingsbury,For the editorial entitled &quot;House of a Hundred Sorrows.&quot;
838,1925,Editorial Writing,Charleston (SC) News and Courier,No author named,For the editorial entitled &quot;Plight of the South.&quot;
839,1924,Editorial Writing,New York World,Frank I. Cobb,A special prize of $1000 was awarded to the widow of Frank I. Cobb in recognition of the distinction of her husband&#039;s editorial writing and service.
840,1924,Editorial Writing,,The Boston Herald,For an editorial entitled &quot;Who Made Coolidge?&quot;
841,1923,Editorial Writing,Emporia (KS) Gazette,William Allen White,For an editorial entitled &quot;To an Anxious Friend.&quot;
842,1922,Editorial Writing,New York Herald,Frank M. O'Brien,"For an article entitled, &quot;The Unknown Soldier.&quot;"
843,1920,Editorial Writing,Evening World Herald,Harvey E. Newbranch,For an editorial entitled &quot;Law and the Jungle.&quot;
844,1918,Editorial Writing,Louisville Courier Journal,No author named,"For the editorial article, &quot;Vae Victis!&quot; and the editorial, &quot;War Has Its Compensation.&quot;"
845,1917,Editorial Writing,,New York Tribune,For an editorial article on the first anniversary of the sinking of the Lusitania. (No author named.)
846,2020,Editorial Cartooning,,"Barry Blitt, contributor, The New Yorker",For work that skewers the personalities and policies emanating from the Trump White House with deceptively sweet watercolor style and seemingly gentle caricatures.
847,2019,Editorial Cartooning,,"Darrin Bell, freelancer","For beautiful and daring editorial cartoons that took on issues affecting disenfranchised communities, calling out lies, hypocrisy and fraud in the political turmoil surrounding the Trump administration."
848,2018,Editorial Cartooning,The New York Times,"Jake Halpern, freelance writer, and Michael Sloan, freelance cartoonist, The New York Times","For an emotionally powerful series, told in graphic narrative form, that chronicled the daily struggles of a real-life family of refugees and its fear of deportation."
849,2017,Editorial Cartooning,Miami Herald,Jim Morin,"For editorial cartoons that delivered sharp perspectives through flawless artistry, biting prose and crisp wit."
850,2016,Editorial Cartooning,The Sacramento Bee,Jack Ohman,"For cartoons that convey wry, rueful perspectives through sophisticated style that combines bold line work with subtle colors and textures."
851,2015,Editorial Cartooning,The Buffalo News,Adam Zyglis,Who used strong images to connect with readers while conveying layers of meaning in a few words.
852,2014,Editorial Cartooning,The Charlotte Observer,Kevin Siers,For his thought provoking cartoons drawn with a sharp wit and bold artistic style.
853,2013,Editorial Cartooning,Star Tribune,Steve Sack,"For his diverse collection of cartoons, using an original style and clever ideas to drive home his unmistakable point of view."
854,2012,Editorial Cartooning,POLITICO,Matt Wuerker,"For his consistently fresh, funny cartoons, especially memorable for lampooning the partisan conflict that engulfed Washington."
855,2011,Editorial Cartooning,The Denver Post,Mike Keefe,"For his widely ranging cartoons that employ a loose, expressive style to send strong, witty messages."
856,2010,Editorial Cartooning,,"Mark Fiore, self syndicated, appearing on SFGate.com","For his animated cartoons appearing on SFGate.com, the San Francisco Chronicle Web site, where his biting wit, extensive research and ability to distill complex issues set a high standard for an emerging form of commentary."
857,2009,Editorial Cartooning,The San Diego Union-Tribune,Steve Breen,"For his agile use of a classic style to produce wide ranging cartoons that engage readers with power, clarity and humor."
858,2008,Editorial Cartooning,Investor&#039;s Business Daily,Michael Ramirez,"For his provocative cartoons that rely on originality, humor and detailed artistry."
859,2007,Editorial Cartooning,Newsday,Walt Handelsman,"For his stark, sophisticated cartoons and his impressive use of zany animation."
860,2006,Editorial Cartooning,The Atlanta Journal-Constitution,Mike Luckovich,"For his powerful cartoons on an array of issues, drawn with a simple but piercing style."
861,2005,Editorial Cartooning,The Courier-Journal,Nick Anderson,For his unusual graphic style that produced extraordinarily thoughtful and powerful messages.
862,2004,Editorial Cartooning,The Journal News,Matt Davies,"For his piercing cartoons on an array of topics, drawn with a fresh, original style."
863,2003,Editorial Cartooning,The Seattle Post-Intelligencer,David Horsey,For his perceptive cartoons executed with a distinctive style and sense of humor.
864,2002,Editorial Cartooning,The Christian Science Monitor,Clay Bennett,
865,2001,Editorial Cartooning,Tribune Media Services,Ann Telnaes,
866,2000,Editorial Cartooning,Lexington (KY) Herald-Leader,Joel Pett,
867,1999,Editorial Cartooning,The Seattle Post-Intelligencer,David Horsey,
868,1998,Editorial Cartooning,Asbury Park Press,Stephen P. Breen,
869,1997,Editorial Cartooning,Times-Picayune,Walt Handelsman,
870,1996,Editorial Cartooning,The Miami Herald,Jim Morin,
871,1995,Editorial Cartooning,The Atlanta Constitution,Mike Luckovich,
872,1994,Editorial Cartooning,Commercial Appeal,Michael P. Ramirez,For his trenchant cartoons on contemporary issues.
873,1993,Editorial Cartooning,The Arizona Republic,Stephen R. Benson,
874,1992,Editorial Cartooning,The Philadelphia Daily News,Signe Wilkinson,
875,1991,Editorial Cartooning,The Cincinnati Enquirer,Jim Borgman,
876,1990,Editorial Cartooning,The Buffalo News,Tom Toles,For his work during the year as exemplified by the cartoon &quot;First Amendment.&quot;
877,1989,Editorial Cartooning,Chicago Sun-Times,Jack Higgins,
878,1988,Editorial Cartooning,The Atlanta Constitution and Charlotte Observer,Doug Marlette,
879,1987,Editorial Cartooning,The Washington Post Writers Group,Berke Breathed,
880,1986,Editorial Cartooning,The Village Voice,Jules Feiffer,
881,1985,Editorial Cartooning,Chicago Tribune,Jeff MacNelly,
882,1984,Editorial Cartooning,Los Angeles Times,Paul Conrad,
883,1983,Editorial Cartooning,Chicago Tribune,Richard Locher,
884,1982,Editorial Cartooning,Austin (TX) American-Statesman,Ben Sargent,
885,1981,Editorial Cartooning,Dayton (OH) Daily News,Mike Peters,
886,1980,Editorial Cartooning,The Miami News,Don Wright,
887,1979,Editorial Cartooning,The Washington Post,Herbert L. Block,For the body of his work.
888,1978,Editorial Cartooning,Richmond (VA) News Leader,Jeffrey K. MacNelly,
889,1977,Editorial Cartooning,The Boston Globe,Paul Szep,
890,1976,Editorial Cartooning,The Philadelphia Inquirer,Tony Auth,"For &quot;O beautiful for spacious skies, For amber waves of grain,&quot; published on July 22, 1975."
891,1975,Editorial Cartooning,Universal Press Syndicate,Garry Trudeau,For his cartoon strip Doonesbury.
892,1974,Editorial Cartooning,The Boston Globe,Paul Szep,For his editorial cartooning during 1973.
893,1972,Editorial Cartooning,Richmond News-Leader,Jeffrey K. MacNelly,For his editorial cartooning during 1971.
894,1971,Editorial Cartooning,Los Angeles Times,Paul Conrad,For his editorial cartooning during 1970.
895,1970,Editorial Cartooning,Newsday,Thomas F. Darcy,For his editorial cartooning during 1969.
896,1969,Editorial Cartooning,Chicago Daily News,John Fischetti,For his editorial cartooning in 1968.
897,1968,Editorial Cartooning,The Charlotte Observer,Eugene Gray Payne,For his editorial cartooning in 1967.
898,1967,Editorial Cartooning,The Denver Post,Patrick B. Oliphant,"For &quot;They Won&#039;t Get Us To The Conference Table...Will They?&quot;  Published February 1, 1966."
899,1966,Editorial Cartooning,The Miami News,Don Wright,For &quot;You Mean You Were Bluffing?&quot;
900,1964,Editorial Cartooning,The Denver Post,Paul Conrad,For his editorial cartooning during the past year
901,1963,Editorial Cartooning,Des Moines Register,Frank Miller,"For a cartoon which showed a world destroyed with one ragged figure calling to another: &quot;I said we sure settled that dispute, didn&#039;t we!&quot;"
902,1962,Editorial Cartooning,The Hartford Times,Edmund S. Valtman,"For &quot;What You Need, Man, Is a Revolution Like Mine,&quot; published on August 31, 1961."
903,1961,Editorial Cartooning,Chicago Tribune,Carey Orr,"For &quot;The Kindly Tiger,&quot; published on October 8, 1960."
904,1959,Editorial Cartooning,St. Louis Post-Dispatch,William H. (Bill) Mauldin,"For &quot;I won the Nobel Prize for Literature. What was your crime?&quot;  Published on October 30, 1958."
905,1958,Editorial Cartooning,Buffalo (NY) Evening News,Bruce M. Shanks,"For &quot;The Thinker,&quot; published on August 10, 1957, depicting the dilemma of union membership when confronted by racketeering leaders in some labor unions."
906,1957,Editorial Cartooning,The Nashville Tennessean,Tom Little,"For &quot;Wonder Why My Parents Didn&#039;t Give Me Salk Shots?&quot;  Published on January 12, 1956."
907,1956,Editorial Cartooning,Louisville (KY) Times,Robert York,"For his cartoon, &quot;Achilles&quot; showing a bulging figure of American prosperity tapering to a weak heel labeled &quot;Farm Prices.&quot;"
908,1955,Editorial Cartooning,St. Louis Post-Dispatch,Daniel R. Fitzpatrick,"For a cartoon published on June 8,1954 entitled, &quot;How Would Another Mistake Help?&quot; showing Uncle Sam, bayoneted rifle in hand, pondering whether to wade into a black marsh bearing the legend &quot;French Mistakes in Indo-China.&quot; The award is also given for distinguished body of the work of Mr. Fitzpatrick in both 1954 and his entire career."
909,1954,Editorial Cartooning,The Washington Post &amp; Times-Herald,Herbert L. Block (Herblock),"For a cartoon depicting the robed figure of Death saying to Stalin after he died, &quot;You Were Always A Great Friend of Mine, Joseph.&quot;"
910,1953,Editorial Cartooning,Cleveland Plain Dealer,Edward D. Kuekes,For &quot;Aftermath.&quot;
911,1952,Editorial Cartooning,New York Mirror,Fred L. Packer,For &quot;Your Editors Ought to Have More Sense Than to Print What I Say!&quot;
912,1951,Editorial Cartooning,Arizona Republic,Reg (Reginald W.) Manning,For &quot;Hats.&quot;
913,1950,Editorial Cartooning,The Evening Star,James T. Berryman,For &quot;All Set for a Super-Secret Session in Washington.&quot;
914,1949,Editorial Cartooning,Newark Evening News,Lute Pease,For &quot;Who Me?&quot;
915,1948,Editorial Cartooning,New York Sun,Reuben L. Goldberg,For &quot;Peace Today.&quot;
916,1947,Editorial Cartooning,Chicago Daily News,Vaughn Shoemaker,"For his cartoon, &quot;Still Racing His Shadow.&quot;"
917,1946,Editorial Cartooning,Los Angeles Times,Bruce Alexander Russell,For &quot;Time to Bridge That Gulch.&quot;
918,1945,Editorial Cartooning,"United Feature Syndicate, Inc.",Sergeant Bill Mauldin,"For distinguished service as a cartoonist, as exemplified by the cartoon entitled, &quot;Fresh, spirited American troops, flushed with victory, are bringing in thousands of hungry, ragged, battle-weary prisoners,&quot; in the series entitled, &quot;Up Front With Mauldin.&quot;"
919,1944,Editorial Cartooning,The Evening Star,Clifford K. Berryman,For &quot;Where Is the Boat Going?&quot;
920,1943,Editorial Cartooning,Des Moines Register &amp; Tribune,Jay Norwood Darling,For &quot;What a Place For a Waste Paper Salvage Campaign.&quot;
921,1942,Editorial Cartooning,NEA service,Herbert Lawrence Block,For &quot;British Plane.&quot;
922,1941,Editorial Cartooning,Chicago Times,Jacob Burck,For &quot;If I Should Die Before I Wake.&quot;
923,1940,Editorial Cartooning,The Baltimore Sun,Edmund Duffy,For &quot;The Outstretched Hand.&quot;
924,1939,Editorial Cartooning,Daily Oklahoman,Charles G. Werner,For &quot;Nomination for 1938.&quot;
925,1938,Editorial Cartooning,Chicago Daily News,Vaughn Shoemaker,For  &quot;The Road Back.&quot;
926,1937,Editorial Cartooning,New York Daily News,C.D. Batchelor,"For  &quot;Come on in, I&#039;ll treat you right. I used to know your Daddy.&quot;"
927,1935,Editorial Cartooning,The Milwaukee Journal,Ross A. Lewis,"For &quot;Sure, I&#039;ll Work for Both Sides.&quot;"
928,1934,Editorial Cartooning,The Baltimore Sun,Edmund Duffy,For  &quot;California Points with Pride!&quot;
